WigleWifi-1.6,appRelease=2.104,model=SM-A546B,release=16,device=a54x,display=BP2A.250605.031.A3.A546BXXSIEZB7,board=s5e8835,brand=samsung,star=Sol,body=3,subBody=0
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
76:d7:9a:04:7a:4b,,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-08 14:08:49,40,5200,-80,48.891408446867,8.701629331916175,329,27,,,WIFI
48:4a:e9:d9:c4:c2,WiFi4EU,[RSN-OWE_TRANSITION-CCMP-128][ESS],2026-04-08 14:08:49,11,2462,-82,48.891408446867,8.701629331916175,329,27,,,WIFI
1c:0b:8b:0c:5b:8a,Jetzt ein leckeres Eis Casal,[WPA2-PSK-CCMP-128][RSN-PSK+SAE-CCMP-128][ESS][MFPC],2026-04-08 14:08:49,6,2437,-76,48.891408446867,8.701629331916175,329,27,,,WIFI
48:4a:e9:d9:f9:f0,WiFi4EU,[RSN-OWE_TRANSITION-CCMP-128][ESS],2026-04-08 14:08:49,136,5680,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
0c:7f:b2:66:91:79,Vodafone-F87D,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-08 14:08:49,44,5220,-80,48.891408446867,8.701629331916175,329,27,,,WIFI
48:4a:e9:d9:f9:f2,PF-WLAN,[RSN-OWE_TRANSITION-CCMP-128][ESS],2026-04-08 14:08:49,136,5680,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
48:4a:e9:d9:f9:f1,,[RSN-OWE-CCMP-128][RSN-OWE_TRANSITION-CCMP-128][ESS][MFPR][MFPC],2026-04-08 14:08:49,136,5680,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
48:4a:e9:d9:f9:f3,,[RSN-OWE-CCMP-128][RSN-OWE_TRANSITION-CCMP-128][ESS][MFPR][MFPC],2026-04-08 14:08:49,136,5680,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
7a:d7:9a:04:7a:4b,,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-08 14:08:49,40,5200,-80,48.891408446867,8.701629331916175,329,27,,,WIFI
4c:c5:3e:c2:4d:05,Amadeus,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-08 14:08:49,36,5180,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
48:4a:e9:d9:58:d2,PF-WLAN,[RSN-OWE_TRANSITION-CCMP-128][ESS],2026-04-08 14:08:49,128,5640,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
60:e3:27:7c:05:5e,PHOTOPLANET-PC2_Network,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-08 14:08:49,2,2417,-74,48.891408446867,8.701629331916175,329,27,,,WIFI
cc:ce:1e:3f:73:b1,FRITZ!Box 7490,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-08 14:08:49,1,2412,-76,48.891408446867,8.701629331916175,329,27,,,WIFI
9e:a3:a9:bc:41:e7,,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-08 14:08:49,13,2472,-74,48.891408446867,8.701629331916175,329,27,,,WIFI
48:4a:e9:d9:c4:d0,PF-WLAN,[RSN-OWE_TRANSITION-CCMP-128][ESS],2026-04-08 14:08:49,132,5660,-77,48.891408446867,8.701629331916175,329,27,,,WIFI
02:f2:08:bd:fb:86,,[RSN-OWE_TRANSITION-CCMP-128][RSN-OWE-CCMP-128][ESS][MFPR][MFPC],2026-04-08 14:08:49,120,5600,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
ea:df:70:49:20:16,iwatch2,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-08 14:08:49,52,5260,-82,48.891408446867,8.701629331916175,329,27,,,WIFI
ea:df:70:49:20:15,iwatch2,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-08 14:08:49,1,2412,-63,48.891408446867,8.701629331916175,329,27,,,WIFI
e2:55:b8:04:eb:b2,mobileservice,[WPA2-EAP/SHA256-CCMP-128][RSN-EAP/SHA256-CCMP-128][ESS][MFPR][MFPC],2026-04-08 14:08:49,44,5220,-73,48.891408446867,8.701629331916175,329,27,,,WIFI
60:a4:b7:d6:d4:72,Goldstern,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-08 14:08:49,8,2447,-64,48.891408446867,8.701629331916175,329,27,,,WIFI
60:a4:b7:d6:d4:73,Goldstern,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-08 14:08:49,44,5220,-73,48.891408446867,8.701629331916175,329,27,,,WIFI
22:0b:8b:0c:5b:8b,,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-08 14:08:49,40,5200,-86,48.891408446867,8.701629331916175,329,27,,,WIFI
ea:55:b8:04:eb:b2,mobileservice_E,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][MFPC],2026-04-08 14:08:49,44,5220,-73,48.891408446867,8.701629331916175,329,27,,,WIFI
60:a4:b7:d6:d5:db,Goldstern,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-08 14:08:49,44,5220,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
a2:05:d6:b3:a2:96,WLAN_E&F_Gast,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-08 14:08:49,36,5180,-82,48.891408446867,8.701629331916175,329,27,,,WIFI
e4:8d:8c:f2:9e:7f,ANATOLIEN-GRILL-HOTSPOT,[ESS],2026-04-08 14:08:49,1,2412,-74,48.891408446867,8.701629331916175,329,27,,,WIFI
78:18:ec:ad:3f:08,Demo,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-08 14:08:49,44,5220,-79,48.891408446867,8.701629331916175,329,27,,,WIFI
74:da:88:1a:b8:0f,MagentaWLAN-8BF3_EXT,[WPA-PSK-TKIP+CCMP-128][WPA2-PSK-TKIP+CCMP-128][RSN-PSK-TKIP+CCMP-128][ESS],2026-04-08 14:08:49,1,2412,-86,48.891408446867,8.701629331916175,329,27,,,WIFI
78:18:ec:ad:3f:09,eMedia,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-08 14:08:49,44,5220,-80,48.891408446867,8.701629331916175,329,27,,,WIFI
4e:05:3e:c2:4d:06,Modehaus-Jung,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-08 14:08:49,36,5180,-90,48.891408446867,8.701629331916175,329,27,,,WIFI
