WigleWifi-1.6,appRelease=2.104,model=SM-A546B,release=16,device=a54x,display=BP2A.250605.031.A3.A546BXXSIEZB7,board=s5e8835,brand=samsung,star=Sol,body=3,subBody=0
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
f8:c6:50:3f:6a:24,hsgast,[ESS],2026-04-01 12:19:42,6,2437,-84,48.87845498146063,8.715655168458357,403,40.5,,,WIFI
f8:c6:50:3f:6a:25,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:19:42,6,2437,-84,48.87845498146063,8.715655168458357,403,40.5,,,WIFI
f8:c6:50:3f:6a:22,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-01 12:19:42,6,2437,-84,48.87845498146063,8.715655168458357,403,40.5,,,WIFI
f8:c6:50:3f:6a:23,hsweb,[ESS],2026-04-01 12:19:42,6,2437,-84,48.87845498146063,8.715655168458357,403,40.5,,,WIFI
1a:60:24:7a:ce:99,DIRECT-99-HP PageWide Pro 477dw,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-01 12:19:42,6,2437,-86,48.87845498146063,8.715655168458357,403,40.5,,,WIFI
f8:c6:50:3f:6a:21,hsx,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:19:42,6,2437,-84,48.87845498146063,8.715655168458357,403,40.5,,,WIFI
42:23:43:d8:10:2e,DIRECT-2e-HP M282 LaserJet,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-04-01 12:19:42,6,2437,-86,48.87845498146063,8.715655168458357,403,40.5,,,WIFI
f8:c6:50:3f:3b:84,hsgast,[ESS],2026-04-01 12:19:43,6,2437,-86,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:3b:85,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:19:43,6,2437,-86,48.878553465453074,8.715732119337796,433,46,,,WIFI
50:57:9c:c9:d8:c9,EB8D6FA3-EE81fIZM@Z1AOS3,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-01 12:19:43,11,2462,-86,48.878553465453074,8.715732119337796,433,46,,,WIFI
cc:c0:79:81:c0:10,MB Hotspot 16655,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-01 12:19:43,149,5745,-90,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:00:a5,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:19:43,1,2412,-82,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:00:a4,hsgast,[ESS],2026-04-01 12:19:43,1,2412,-84,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:00:a3,hsweb,[ESS],2026-04-01 12:19:43,1,2412,-82,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:00:a2,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-01 12:19:43,1,2412,-84,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:00:a1,hsx,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:19:43,1,2412,-82,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:3b:81,hsx,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:19:43,6,2437,-86,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:3b:82,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-01 12:19:43,6,2437,-86,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:3b:83,hsweb,[ESS],2026-04-01 12:19:43,6,2437,-86,48.878553465453074,8.715732119337796,433,46,,,WIFI
f8:c6:50:3f:00:ae,hsx,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:20:01,132,5660,-90,48.87841397537253,8.715816511872594,407,5,,,WIFI
f8:c6:50:3f:00:ad,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-01 12:20:01,132,5660,-90,48.87841397537253,8.715816511872594,407,5,,,WIFI
f8:c6:50:3f:00:ac,hsweb,[ESS],2026-04-01 12:20:01,132,5660,-90,48.87841397537253,8.715816511872594,407,5,,,WIFI
f8:c6:50:3f:00:ab,hsgast,[ESS],2026-04-01 12:20:01,132,5660,-90,48.87841397537253,8.715816511872594,407,5,,,WIFI
f8:c6:50:3f:00:aa,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:20:01,132,5660,-90,48.87841397537253,8.715816511872594,407,5,,,WIFI
20:cc:27:3b:33:04,hsgast,[ESS],2026-04-01 12:20:01,11,2462,-90,48.87841397537253,8.715816511872594,407,5,,,WIFI
20:cc:27:3b:33:05,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:20:01,11,2462,-90,48.87841397537253,8.715816511872594,407,5,,,WIFI
20:cc:27:3b:33:03,hsweb,[ESS],2026-04-01 12:20:01,11,2462,-90,48.87841397537253,8.715816511872594,407,5,,,WIFI
20:cc:27:39:76:41,hsx,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:20:19,11,2462,-82,48.87847118695038,8.71594405198859,408,3.5,,,WIFI
20:cc:27:39:76:43,hsweb,[ESS],2026-04-01 12:20:19,11,2462,-80,48.87847118695038,8.71594405198859,408,3.5,,,WIFI
20:cc:27:39:76:42,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-04-01 12:20:19,11,2462,-80,48.87847118695038,8.71594405198859,408,3.5,,,WIFI
20:cc:27:39:76:45,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-04-01 12:20:19,11,2462,-80,48.87847118695038,8.71594405198859,408,3.5,,,WIFI
